date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:19:26	17522/17522	---MC-	200	added ('OK')	text/html	date:Fri,%2019%20Mar%202021%2022:19:26%20GMT	http://fastwayservices.co/tracking.php	C:/fastway-php/Fastway-php/fastwayservices.co/tracking.html	(from )
23:19:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Mar%202021%2022:19:27%20GMT	http://fastwayservices.co/robots.txt		(from )
23:19:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Mar%202021%2022:19:28%20GMT	https://www.fastway.com.au/favicon-16x16.png	C:/fastway-php/Fastway-php/www.fastway.com.au/favicon-16x16.1.delayed	(from http://fastwayservices.co/tracking.php)
23:19:31	1443/1443	---M--	200	added ('OK')	image/png	etag:%220e1a6e8534ad61:0%22	https://www.aramex.com.au/favicon-16x16.png	C:/fastway-php/Fastway-php/www.aramex.com.au/favicon-16x16.png	(from http://fastwayservices.co/tracking.php)
23:19:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Mar%202021%2022:19:31%20GMT	https://www.fastway.com.au/Fastway-icon-72x72.png	C:/fastway-php/Fastway-php/www.fastway.com.au/Fastway-icon-72x72.png	(from http://fastwayservices.co/tracking.php)
23:19:33	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Mar%202021%2022:19:32%20GMT	https://www.aramex.com.au/Fastway-icon-72x72.png	C:/fastway-php/Fastway-php/www.aramex.com.au/Fastway-icon-72x72.4.delayed	(from http://fastwayservices.co/tracking.php)
23:19:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Mar%202021%2022:19:33%20GMT	https://www.fastway.com.au/Fastway-icon-144x144.png	C:/fastway-php/Fastway-php/www.fastway.com.au/Fastway-icon-144x144.png	(from http://fastwayservices.co/tracking.php)
23:19:36	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Mar%202021%2022:19:35%20GMT	https://www.aramex.com.au/Fastway-icon-144x144.png	C:/fastway-php/Fastway-php/www.aramex.com.au/Fastway-icon-144x144.6.delayed	(from http://fastwayservices.co/tracking.php)
23:19:37	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/fastway-php/Fastway-php/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://fastwayservices.co/tracking.php)
23:19:38	32100/32100	---MC-	200	added ('OK')	text/html	date:Fri,%2019%20Mar%202021%2022:19:38%20GMT	http://fastwayservices.co/index.php	C:/fastway-php/Fastway-php/fastwayservices.co/index.html	(from http://fastwayservices.co/tracking.php)
23:19:39	5819/5819	---MC-	200	added ('OK')	text/html	date:Fri,%2019%20Mar%202021%2022:19:39%20GMT	http://fastwayservices.co/register.php	C:/fastway-php/Fastway-php/fastwayservices.co/register.html	(from http://fastwayservices.co/tracking.php)
23:19:39	5863/5863	---M--	200	added ('OK')	image/png	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/fastwaycouriers.png	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/fastwaycouriers.png	(from http://fastwayservices.co/tracking.php)
